measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
3,YLDs (Years Lived with Disability),102,United States,1,Male,22,All Ages,354,Lymphatic filariasis,1,Number,2016,0.0,0.0,0.0
3,YLDs (Years Lived with Disability),102,United States,2,Female,22,All Ages,354,Lymphatic filariasis,1,Number,2016,0.0,0.0,0.0
3,YLDs (Years Lived with Disability),102,United States,1,Male,22,All Ages,354,Lymphatic filariasis,2,Percent,2016,0.0,0.0,0.0
3,YLDs (Years Lived with Disability),102,United States,2,Female,22,All Ages,354,Lymphatic filariasis,2,Percent,2016,0.0,0.0,0.0
3,YLDs (Years Lived with Disability),102,United States,1,Male,22,All Ages,355,Onchocerciasis,1,Number,2016,0.0,0.0,0.0
3,YLDs (Years Lived with Disability),102,United States,2,Female,22,All Ages,355,Onchocerciasis,1,Number,2016,0.0,0.0,0.0
3,YLDs (Years Lived with Disability),102,United States,1,Male,22,All Ages,355,Onchocerciasis,2,Percent,2016,0.0,0.0,0.0
3,YLDs (Years Lived with Disability),102,United States,2,Female,22,All Ages,355,Onchocerciasis,2,Percent,2016,0.0,0.0,0.0
3,YLDs (Years Lived with Disability),102,United States,1,Male,22,All Ages,356,Trachoma,1,Number,2016,0.0,0.0,0.0
3,YLDs (Years Lived with Disability),102,United States,2,Female,22,All Ages,356,Trachoma,1,Number,2016,0.0,0.0,0.0
3,YLDs (Years Lived with Disability),102,United States,1,Male,22,All Ages,356,Trachoma,2,Percent,2016,0.0,0.0,0.0
3,YLDs (Years Lived with Disability),102,United States,2,Female,22,All Ages,356,Trachoma,2,Percent,2016,0.0,0.0,0.0
3,YLDs (Years Lived with Disability),102,United States,1,Male,22,All Ages,357,Dengue,1,Number,2016,110.642568991,207.355835094,48.2906054355
3,YLDs (Years Lived with Disability),102,United States,2,Female,22,All Ages,357,Dengue,1,Number,2016,130.806909332,244.233484633,57.1041581654
3,YLDs (Years Lived with Disability),102,United States,1,Male,22,All Ages,357,Dengue,2,Percent,2016,5.61278939586e-06,9.94942225311e-06,2.74433662532e-06
3,YLDs (Years Lived with Disability),102,United States,2,Female,22,All Ages,357,Dengue,2,Percent,2016,5.54064423197e-06,9.71779698336e-06,2.71976647663e-06
3,YLDs (Years Lived with Disability),102,United States,1,Male,22,All Ages,358,Yellow fever,1,Number,2016,0.0,0.0,0.0
